Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
235,-1,144,White,random,1.7641,1.7641,0.5373,0-1,0
236,-1,58,White,random,1.9822,1.9822,1.1342,0-1,0
237,-0.6104,205,White,random,1.806,1.806,0.6164,1/2-1/2,0
238,-0.6096,242,White,random,1.267,1.267,1.267,1/2-1/2,0
239,-1,302,White,random,1.7263,1.7263,1.3036,0-1,0
240,-0.608,345,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
241,-0.6072,214,White,random,1.6074,1.6074,-0.0365,1/2-1/2,0
242,-0.6064,650,White,random,1.8115,1.8115,0.7332,1/2-1/2,0
243,-0.6056,351,White,random,1.5567,1.5567,0.6724,1/2-1/2,0
244,-1,298,White,random,1.8008,1.8008,0.7694,0-1,0
245,-0.9,243,White,random,1.9242,1.9242,1.0596,1/2-1/2,0
246,-0.9,598,White,random,1.8304,1.8304,1.3918,1/2-1/2,0
247,-1,354,White,random,1.7664,1.7664,0.79,0-1,0
248,-0.6016,373,White,random,1.2301,1.2301,0.8827,1/2-1/2,0
249,-0.6008,824,White,random,1.6502,1.6502,1.4391,1/2-1/2,0
250,-0.6,346,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
251,-0.5992,315,White,random,1.7805,1.7805,1.1857,1/2-1/2,0
252,-1,274,White,random,1.9605,1.9605,1.3266,0-1,0
253,-0.5976,483,White,random,1.9406,1.9406,0.9951,1/2-1/2,0
254,-0.5968,574,White,random,1.7796,1.7796,1.315,1/2-1/2,0
255,-1,138,White,random,1.8975,1.8975,0.9303,0-1,0
256,-0.5952,456,White,random,1.6481,1.6481,0.6579,1/2-1/2,0
257,-1,114,White,random,2.0496,2.0496,0.9526,0-1,0
258,-0.5936,418,White,random,1.755,1.755,1.2355,1/2-1/2,0
259,-0.5928,359,White,random,1.7389,1.7389,0.947,1/2-1/2,0
260,-0.592,353,White,random,1.6422,1.6422,1.2305,1/2-1/2,0
261,-0.5912,679,White,random,1.2847,1.2847,0.6991,1/2-1/2,0
262,-0.5904,439,White,random,1.2978,1.2978,1.218,1/2-1/2,0
